jurisdiction,year,month,date,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,day_of_highest_count,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
Colusa Sheriff's Department,2017,february,2017-02-01,Colusa County,06,011,06011,42,8,25,5,80,28,16,44,23,13,36,2017-02-07,88,21,11,12,0,71,28,1,8,0,4,0,3,0,0,1,0,115,0,1,0,NA,NA,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2017,february,2017-02-01,Contra Costa County,06,013,06013,1042,151,286,41,1520,1015,278,1293,178,49,227,2017-02-05,1563,275,118,262,32,618,564,74,90,29,38,0,194,0,0,13,1,1800,0,0,0,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2017,february,2017-02-01,Del Norte County,06,015,06015,48,12,35,8,103,52,25,77,8,18,26,2017-02-24,109,NA,NA,18,0,95,84,5,4,0,4,0,0,0,1,3,0,189,0,0,0,NA,NA,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2017,february,2017-02-01,El Dorado County,06,017,06017,151,33,137,40,361,170,144,314,14,33,47,2017-02-20,384,58,14,58,NA,703,3,5,31,4,5,0,1,0,2,NA,0,470,127,3,0,NA,NA,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2017,february,2017-02-01,Fresno County,06,019,06019,1783,197,725,118,2823,1857,692,2549,123,151,274,2017-02-19,2894,62,108,563,84,7868,1300,53,467,28,37,0,99,0,0,131,3,2235,70,57,0,NA,NA,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2017,february,2017-02-01,Glenn County,06,021,06021,58,15,20,2,95,55,14,69,18,8,26,2017-02-13,109,24,12,7,0,127,19,0,4,0,5,0,0,0,15,5,0,117,1,2,0,NA,NA,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2017,february,2017-02-01,Humboldt County,06,023,06023,247,39,93,16,395,255,90,345,32,18,50,2017-02-20,414,245,62,64,0,291,156,4,73,12,5,NA,NA,NA,NA,2,0,714,45,65,0,NA,NA,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2017,february,2017-02-01,Imperial County,06,025,06025,222,30,188,15,455,221,181,402,31,22,53,2017-02-20,495,77,34,77,20,414,174,10,24,8,0,0,85,0,28,5,2,561,0,0,0,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2017,february,2017-02-01,Inyo County,06,027,06027,22,2,28,6,58,18,22,40,6,12,18,2017-02-22,70,0,3,13,0,165,35,1,0,0,0,0,0,0,0,0,0,83,0,0,0,NA,NA,NA,NA,NA,NA,NA
Kern Sheriff's Department,2017,february,2017-02-01,Kern County,06,029,06029,1273,167,624,99,2163,1303,534,1837,137,189,326,2017-02-27,2185,1211,276,514,80,2058,539,140,118,22,32,0,115,0,0,115,4,2586,94,206,0,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2017,february,2017-02-01,Kings County,06,031,06031,323,41,61,22,447,314,43,357,50,40,90,2017-02-27,476,130,46,145,3,262,273,8,22,0,8,0,0,0,0,NA,0,459,0,0,0,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2017,february,2017-02-01,Lake County,06,033,06033,163,28,80,20,291,162,65,227,29,35,64,2017-02-16,303,127,45,94,0,446,2,17,24,0,0,0,0,0,0,0,0,307,0,0,0,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2017,february,2017-02-01,Lassen County,06,035,06035,46,8,27,8,89,51,27,78,4,7,11,2017-02-05,99,28,7,28,0,118,38,0,1,0,1,0,0,0,5,0,0,83,0,0,0,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2017,february,2017-02-01,Los Angeles County,06,037,06037,8885,1301,5251,853,16290,8866,4976,13842,1320,1128,2448,2017-02-25,16969,3102,1480,5035,3064,20279,9252,695,1065,515,541,0,0,0,0,330,22,8319,163,113,0,NA,NA,NA,NA,NA,NA,NA
Madera Corrections Department,2017,february,2017-02-01,Madera County,06,039,06039,296,40,106,11,453,288,92,380,48,25,73,2017-02-15,474,55,60,42,0,567,109,15,45,0,1,0,0,0,0,1,0,393,0,0,0,NA,NA,NA,NA,NA,NA,NA
Marin Sheriff's Department,2017,february,2017-02-01,Marin County,06,041,06041,208,34,76,18,336,192,70,262,50,24,74,2017-02-10,353,NA,NA,NA,NA,394,198,5,47,36,10,0,3,0,0,0,2,501,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2017,february,2017-02-01,Mariposa County,06,043,06043,12,7,13,3,35,17,10,27,3,5,8,2017-02-27,41,9,3,9,0,26,6,2,2,0,0,0,0,0,0,0,0,54,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2017,february,2017-02-01,Mendocino County,06,045,06045,149,31,110,17,307,60,57,117,120,70,190,2017-02-25,334,48,NA,48,0,246,48,4,32,NA,13,NA,NA,NA,0,10,0,348,0,0,0,NA,NA,NA,NA,NA,NA,NA
Merced Sheriff's Department,2017,february,2017-02-01,Merced County,06,047,06047,582,48,27,6,663,577,28,605,53,5,58,2017-02-06,682,121,35,121,0,641,268,21,52,0,48,0,0,0,0,10,2,674,NA,76,0,NA,NA,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2017,february,2017-02-01,Modoc County,06,049,06049,13,3,7,2,25,14,9,23,2,0,2,2017-02-11,33,11,6,19,0,14,14,2,1,0,1,0,0,0,0,2,0,47,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mono Sheriff's Department,2017,february,2017-02-01,Mono County,06,051,06051,14,0,11,2,27,11,8,19,3,5,8,2017-02-19,32,0,0,0,0,6,6,6,4,0,0,0,0,0,0,0,0,36,0,0,0,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2017,february,2017-02-01,Monterey County,06,053,06053,548,69,251,48,916,587,256,843,30,43,73,2017-02-05,958,NA,NA,206,NA,2138,268,74,46,11,20,0,0,0,0,24,NA,962,167,232,0,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2017,february,2017-02-01,Napa County,06,055,06055,152,19,12,3,186,152,9,161,19,6,25,2017-02-01,207,58,10,58,5,267,111,4,17,0,5,42,0,0,0,11,0,338,96,58,0,NA,NA,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2017,february,2017-02-01,Nevada County,06,057,06057,128,23,39,13,203,141,36,177,10,16,26,2017-02-15,244,40,13,57,0,577,39,12,26,3,0,0,46,0,NA,0,0,341,0,0,0,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2017,february,2017-02-01,Orange County,06,059,06059,2832,330,2437,413,6012,2625,1875,4500,537,975,1512,2017-02-05,6091,1495,442,720,120,7728,6682,188,1242,21,91,NA,771,NA,NA,85,9,4277,0,0,0,NA,NA,NA,NA,NA,NA,NA
Santa Ana Police Department,2017,february,2017-02-01,Orange County,06,059,06059,0,0,0,0,0,NA,NA,0,NA,NA,0,2017-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placer Sheriff's Department,2017,february,2017-02-01,Placer County,06,061,06061,447,38,184,47,716,346,152,498,139,79,218,2017-02-14,792,221,41,190,18,892,105,37,78,8,13,0,NA,NA,0,8,0,756,130,6,0,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2017,february,2017-02-01,Plumas County,06,063,06063,34,8,4,2,48,27,2,29,14,5,19,2017-02-27,54,NA,NA,8,0,85,6,3,6,0,0.5,0,NA,NA,0,2,0,77,0,0,0,NA,NA,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2017,february,2017-02-01,Riverside County,06,065,06065,2302,271,1051,140,3764,2434,990,3424,139,201,340,2017-02-06,3834,1382,396,1195,387,7873,3662,274,413,48,49,78,0,0,0,147,5,3962,146,330,0,NA,NA,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2017,february,2017-02-01,Sacramento County,06,067,06067,1916,191,1289,209,3605,1956,1103,3059,151,395,546,2017-02-13,3693,1453,599,903,18,10194,3174,53,998,18,41,0,374,33,0,80,0,2881,0,0,0,NA,NA,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2017,february,2017-02-01,San Benito County,06,069,06069,87,12,26,4,129,85,20,105,14,10,24,2017-02-13,145,30,14,30,0,261,27,1,0,0,2,0,0,0,0,0,0,187,91,3,0,NA,NA,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2017,february,2017-02-01,San Bernardino County,06,071,06071,3613,618,1070,245,5546,3019,1030,4049,1212,285,1497,2017-02-13,5803,17,532,1072,103,5967,6189,278,686,22,80,0,89,NA,0,166,61,5588,279,205,0,NA,NA,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2017,february,2017-02-01,San Diego County,06,073,06073,2636,442,2137,429,5644,2823,2248,5071,255,318,573,2017-02-14,5742,1738,735,1236,38,25107,5618,166,451,66,71,NA,NA,NA,NA,29,16,5995,0,802,0,NA,NA,NA,NA,NA,NA,NA
San Diego Work Furlough,2017,february,2017-02-01,San Diego County,06,073,06073,1,1,243,77,322,NA,NA,NA,NA,NA,NA,2017-02-01,342,0,0,0,0,0,0,0,0,0,0,0,207.04,0,0,0,0,127,0,0,0,NA,NA,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2017,february,2017-02-01,San Francisco County,06,075,06075,978,90,172,16,1256,988,174,1162,80,14,94,2017-02-14,1339,737,67,228,135,11138,1084,98,145,86,22,NA,0,0,0,2.5,8,1294,0,0,0,NA,NA,NA,NA,NA,NA,NA
San Joaquin Sheriff's Department,2017,february,2017-02-01,San Joaquin County,06,077,06077,788,111,369,45,1313,844,352,1196,55,62,117,2017-02-14,1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,16,0,1645,445,16,0,NA,NA,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2017,february,2017-02-01,San Luis Obispo County,06,079,06079,262,48,232,30,572,200,141,341,109,122,231,2017-02-14,593,477,66,353,36,1406,726,29,0,99,8,NA,NA,NA,NA,11,1,883,NA,140,0,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2017,february,2017-02-01,San Mateo County,06,081,06081,609,75,299,50,1033,584,298,882,100,51,151,2017-02-28,1066,338,206,122,1,1533,416,60,120,23,15,0,0,0,0,13,3,1130,0,0,0,NA,NA,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2017,february,2017-02-01,Santa Barbara County,06,083,06083,632,108,228,33,1001,NA,NA,NA,NA,NA,NA,2017-02-14,1024,NA,NA,NA,60,NA,NA,NA,NA,0,9,0,0,0,0,46,4,1262,373,38,0,NA,NA,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2017,february,2017-02-01,Santa Clara County,06,085,06085,2303,280,819,153,3555,2203,724,2927,381,247,628,2017-02-27,3659,776,241,676,197,5067,2435,157,451,38,NA,0,81.4,0,0,NA,4,3467,0,0,0,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2017,february,2017-02-01,Santa Cruz County,06,087,06087,265,22,83,17,387,97,34,131,190,66,256,2017-02-05,453,61,62,61,52,368,195,2,30,2,15,NA,NA,NA,NA,1,1,683,NA,75,0,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2017,february,2017-02-01,Shasta County,06,089,06089,216,40,71,11,338,228,60,288,28,22,50,2017-02-20,348,85,57,59,8,353,31,7,104,7,19,19,0,0,0,15,0,831,134,67,0,NA,NA,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2017,february,2017-02-01,Siskiyou County,06,093,06093,69,13,11,0,93,82,11,93,0,0,0,2017-02-24,103,40,28,38,0,105,94,11,7,3,1,0,0,0,0,0,0,186,5,22,0,NA,NA,NA,NA,NA,NA,NA
Solano Sheriff's Department,2017,february,2017-02-01,Solano County,06,095,06095,730,94,215,29,1068,743,217,960,81,27,108,2017-02-21,1086,350,360,350,0,3206,1403,36,124,0,15,0,0,0,91,36,4,1183,0,0,0,NA,NA,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2017,february,2017-02-01,Sonoma County,06,097,06097,462,103,366,68,999,455,272,727,110,162,272,2017-02-06,1128,462,211,352,183,982,250,54,53,11,13,43,NA,NA,NA,13,17,1272,0,41,0,NA,NA,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2017,february,2017-02-01,Stanislaus County,06,099,06099,806,85,290,47,1228,801,263,1064,90,74,164,2017-02-14,1246,297,161,141,24,869,236,45,73,1,7,0,0,0,0,22,3,1516,418,267,0,NA,NA,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2017,february,2017-02-01,Sutter County,06,101,06101,128,24,41,13,206,135,41,176,17,13,30,2017-02-10,227,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,8,0,291,0,0,0,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2017,february,2017-02-01,Tehama County,06,103,06103,98,15,71,15,199,NA,NA,NA,NA,NA,NA,2017-02-06,207,67,23,64,NA,340,94,9,22,2,3,0,0,0,0,9,0,220,0,34,0,NA,NA,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2017,february,2017-02-01,Trinity County,06,105,06105,39,4,7,1,51,40,7,47,3,1,4,2017-02-02,53,0,5,14,0,46,42,0,4,0,2,0,0,0,0,2,0,46,28,7,0,NA,NA,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2017,february,2017-02-01,Tulare County,06,107,06107,788,108,546,112,1554,797,586,1383,99,72,171,2017-02-27,1604,165,430,383,1,789,108,66,106,16,1,0,0,0,0,26,2,1541,424,0,0,NA,NA,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2017,february,2017-02-01,Tuolumne County,06,109,06109,89,31,18,7,145,118,23,141,2,2,4,2017-02-03,147,41,8,41,0,715,28,2,19,0,13,0,0,0,0,2,1,258,195,24,0,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2017,february,2017-02-01,Ventura County,06,111,06111,846,137,518,91,1592,869,460,1329,115,148,263,2017-02-13,1733,595,411,404,0,973,356,53,229,NA,NA,NA,NA,NA,NA,43,0,2071,0,98,NA,NA,NA,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2017,february,2017-02-01,Yolo County,06,113,06113,235,39,101,11,386,259,104,363,15,8,23,2017-02-28,413,109,53,115,2,341,109,4,35,0,0,2,0,9,2,2,0,596,0,0,0,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2017,february,2017-02-01,Yuba County,06,115,06115,205,24,32,4,265,216,29,245,13,7,20,2017-02-05,384,47,22,47,0,185,190,13,33,0,0,0,93,0,0,4,0,290,0,0,0,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2017,january,2017-01-01,Alameda County,06,001,06001,1869,192,324,37,2422,1942,335,2277,118,27,145,2017-01-28,2486,NA,660,67,12,1879,459,73,91,9,7,10,302,0,3,38,2,2899,0,0,0,NA,NA,NA,NA,NA,NA,NA
Amador Sheriff's Department,2017,january,2017-01-01,Amador County,06,005,06005,34,10,29,7,80,41,27,68,3,9,12,2017-01-31,88,10,3,10,0,248,16,0,5,0,6.35,1,0,0,0,7,2,107,0,26,0,NA,NA,NA,NA,NA,NA,NA
Butte Sheriff's Department,2017,january,2017-01-01,Butte County,06,007,06007,287,44,200,32,563,307,165,472,24,67,91,2017-01-22,585,208,102,53,0,642,45,27,92,0,8,0,0,0,0,72,1,935,11,38,0,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2017,january,2017-01-01,Calaveras County,06,009,06009,43,10,32,10,95,47,21,68,6,21,27,2017-01-31,104,46,31,16,0,306,23,4,8,0,0,0,0,0,0,0,0,143,0,0,0,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2017,january,2017-01-01,Colusa County,06,011,06011,41,7,32,5,85,29,19,48,19,18,37,2017-01-02,95,40,6,11,0,114,24,1,8,0,4,0,3,0,0,5,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2017,january,2017-01-01,Contra Costa County,06,013,06013,991,185,265,57,1498,1011,277,1288,165,45,210,2017-01-16,1539,275,117,262,31,658,637,74,97,27,42,0,201,0,0,17,1,1830,0,0,0,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2017,january,2017-01-01,Del Norte County,06,015,06015,37,12,38,10,97,41,27,68,9,20,29,2017-01-12,105,NA,NA,26,0,96,81,2,3,0,4,0,0,0,1,5,0,171,0,0,0,NA,NA,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2017,january,2017-01-01,El Dorado County,06,017,06017,166,34,135,38,373,184,138,322,16,35,51,2017-01-14,385,102,18,102,NA,763,1,3,44,0,5,0,1,0,1,NA,0,493,98,1,0,NA,NA,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2017,january,2017-01-01,Fresno County,06,019,06019,1751,196,739,114,2800,1821,718,2539,126,135,261,2017-01-22,2831,64,131,561,83,7525,1155,86,537,30,34,0,91,0,0,168,4,2297,55,65,0,NA,NA,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2017,january,2017-01-01,Glenn County,06,021,06021,60,13,22,5,100,55,15,70,18,12,30,2017-01-18,115,37,14,5,0,112,26,0,7,0,4,0,0,0,0,6,0,130,1,1,0,NA,NA,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2017,january,2017-01-01,Humboldt County,06,023,06023,239,34,88,15,376,230,87,317,43,16,59,2017-01-28,395,225,85,65,0,314,194,16,76,14,5,NA,NA,NA,NA,3,0,788,34,70,0,NA,NA,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2017,january,2017-01-01,Imperial County,06,025,06025,223,28,189,15,455,221,182,403,30,22,52,2017-01-03,498,88,42,88,15,399,211,18,52,8,1,0,95,0,27,5,2,572,0,0,0,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2017,january,2017-01-01,Inyo County,06,027,06027,19,5,24,5,53,21,21,42,3,8,11,2017-01-02,61,0,1,8,0,147,21,1,21,0,0,0,0,0,0,0,0,72,0,0,0,NA,NA,NA,NA,NA,NA,NA
Kern Sheriff's Department,2017,january,2017-01-01,Kern County,06,029,06029,1267,156,604,107,2134,1284,518,1802,139,193,332,2017-01-31,2143,1372,302,528,82,1974,494,231,147,21,59,0,116,0,0,122,3,2696,85,182,0,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2017,january,2017-01-01,Kings County,06,031,06031,313,42,62,18,435,313,41,354,42,39,81,2017-01-14,451,131,46,156,4,303,270,8,23,0,8,0,0,0,0,NA,0,488,0,0,0,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2017,january,2017-01-01,Lake County,06,033,06033,159,23,84,21,287,152,67,219,30,38,68,2017-01-23,300,118,70,101,0,493,5,11,20,0,0,0,0,0,0,0,0,381,0,0,0,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2017,january,2017-01-01,Lassen County,06,035,06035,44,5,26,9,84,45,29,74,3,7,10,2017-01-24,94,28,11,28,0,97,44,0,0,0,1,0,0,0,6,0,0,79,0,0,0,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2017,january,2017-01-01,Los Angeles County,06,037,06037,8543,1199,5307,890,15939,8822,5174,13996,920,1023,1943,2017-01-28,16683,3108,2039,4898,3071,21106,9600,765,1005,506,426,0,0,0,0,239,15,9207,177,106,0,NA,NA,NA,NA,NA,NA,NA
Madera Corrections Department,2017,january,2017-01-01,Madera County,06,039,06039,277,35,94,12,418,273,70,343,39,36,75,2017-01-16,448,56,53,47,0,580,104,4,60,0,1,0,0,0,0,1,0,409,0,0,0,NA,NA,NA,NA,NA,NA,NA
Marin Sheriff's Department,2017,january,2017-01-01,Marin County,06,041,06041,219,36,62,49,366,204,84,288,51,27,78,2017-01-16,366,NA,NA,NA,NA,483,241,9,28,39,11,0,3,0,0,0,5,533,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2017,january,2017-01-01,Mariposa County,06,043,06043,12,6,13,3,34,16,10,26,2,6,8,2017-01-27,40,7,4,7,0,39,9,0,1,0,0,0,0,0,0,0,0,69,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2017,january,2017-01-01,Mendocino County,06,045,06045,144,31,108,19,302,65,45,110,110,82,192,2017-01-20,318,48,NA,48,0,198,52,14,61,NA,12,NA,NA,NA,0,6,0,371,0,0,0,NA,NA,NA,NA,NA,NA,NA
Merced Sheriff's Department,2017,january,2017-01-01,Merced County,06,047,06047,584,47,20,1,652,581,17,598,50,4,54,2017-01-30,666,111,39,111,0,686,249,17,49,0,47,0,0,0,0,12,2,700,NA,42,0,NA,NA,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2017,january,2017-01-01,Modoc County,06,049,06049,14,3,8,2,27,14,9,23,3,1,4,2017-01-17,33,7,3,18,0,14,14,2,0,0,1,0,0,0,0,2,0,42,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mono Sheriff's Department,2017,january,2017-01-01,Mono County,06,051,06051,11,1,10,2,24,9,7,16,3,5,8,2017-01-15,32,0,0,0,0,8,8,8,4,0,0,0,0,0,0,1,0,39,0,0,0,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2017,january,2017-01-01,Monterey County,06,053,06053,535,68,260,46,909,570,263,833,33,43,76,2017-01-29,948,NA,NA,196,NA,2404,156,76,119,6,23,0,0,0,0,37,NA,999,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2017,january,2017-01-01,Napa County,06,055,06055,192,32,19,5,248,202,13,215,22,11,33,2017-01-17,248,65,15,65,5,285,82,8,10,1,5,41,0,0,0,8,0,381,105,54,0,NA,NA,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2017,january,2017-01-01,Nevada County,06,057,06057,109,23,31,11,174,122,29,151,10,13,23,2017-01-30,209,40,13,52,0,472,32,7,30,2,0,0,46,0,NA,0,0,329,0,0,0,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2017,january,2017-01-01,Orange County,06,059,06059,2822,333,2399,394,5948,2606,1869,4475,548,925,1473,2017-01-16,6044,1462,427,692,118,8234,7397,191,1331,20,83,NA,748,NA,NA,79,10,4624,0,0,0,NA,NA,NA,NA,NA,NA,NA
Santa Ana Police Department,2017,january,2017-01-01,Orange County,06,059,06059,0,0,0,0,0,NA,NA,0,NA,NA,0,2017-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placer Sheriff's Department,2017,january,2017-01-01,Placer County,06,061,06061,400,45,178,45,668,346,155,501,99,68,167,2017-01-24,709,226,48,217,18,854,146,41,84,6,13,0,NA,NA,0,6,0,880,197,15,0,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2017,january,2017-01-01,Plumas County,06,063,06063,32,11,4,1,48,27,3,30,16,3,18,2017-01-22,54,NA,NA,9,0,89,2,4,5,0,0.48000000000000004,0,NA,NA,0,2,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2017,january,2017-01-01,Riverside County,06,065,06065,2300,255,1045,148,3748,2448,1006,3454,107,187,294,2017-01-16,3813,1382,399,1177,404,8578,3157,427,308,47,47,76,0,0,0,119,6,4070,180,462,0,NA,NA,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2017,january,2017-01-01,Sacramento County,06,067,06067,1931,172,1267,235,3605,1952,1106,3058,151,396,547,2017-01-17,3952,1482,728,877,18,11278,3455,66,968,17,55,0,375,29,0,85,0,3365,0,0,0,NA,NA,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2017,january,2017-01-01,San Benito County,06,069,06069,77,13,18,6,114,78,12,90,12,12,24,2017-01-17,133,20,18,20,0,326,50,0,16,0,2,0,0,0,0,0,0,225,100,3,0,NA,NA,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2017,january,2017-01-01,San Bernardino County,06,071,06071,3589,604,1026,235,5454,2983,991,3974,1210,270,1480,2017-01-04,5661,15,521,1042,103,5980,6219,244,822,24,76,0,83,NA,0,127,54,5876,235,400,0,NA,NA,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2017,january,2017-01-01,San Diego County,06,073,06073,2556,437,2134,426,5553,2756,2250,5006,237,310,547,2017-01-16,5689,1992,966,1271,37,27675,5725,187,419,66,58,NA,NA,NA,NA,27,16,6615,0,849,0,NA,NA,NA,NA,NA,NA,NA
San Diego Work Furlough,2017,january,2017-01-01,San Diego County,06,073,06073,3,1,252,85,341,NA,NA,NA,NA,NA,NA,2017-01-05,350,0,0,0,0,0,0,0,0,0,0,0,221.70999999999998,0,0,0,0,138,0,0,0,NA,NA,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2017,january,2017-01-01,San Francisco County,06,075,06075,996,103,175,18,1292,1017,179,1196,82,14,96,2017-01-06,1388,725,77,257,137,12428,1263,101,183,86,22,NA,0,0,0,1.3,7,1448,0,0,0,NA,NA,NA,NA,NA,NA,NA
San Joaquin Sheriff's Department,2017,january,2017-01-01,San Joaquin County,06,077,06077,752,110,375,53,1290,814,360,1174,48,68,116,2017-01-30,1314,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,13,0,1788,434,23,0,NA,NA,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2017,january,2017-01-01,San Luis Obispo County,06,079,06079,266,39,222,29,556,195,139,334,111,111,222,2017-01-17,583,316,120,271,37,1655,911,14,79,97,9,NA,NA,NA,NA,10,1,950,NA,133,0,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2017,january,2017-01-01,San Mateo County,06,081,06081,598,69,272,43,982,577,272,849,90,43,133,2017-01-24,1030,358,269,118,2,1534,478,61,124,18,15,0,0,0,0,13,3,1226,0,0,0,NA,NA,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2017,january,2017-01-01,Santa Barbara County,06,083,06083,616,109,219,26,970,NA,NA,NA,NA,NA,NA,2017-01-31,1003,NA,NA,NA,61,NA,NA,NA,NA,0,8,0,0,0,0,27,6,1423,451,47,0,NA,NA,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2017,january,2017-01-01,Santa Clara County,06,085,06085,2246,276,829,148,3499,2154,730,2884,368,247,615,2017-01-31,3548,896,193,725,192,5061,2323,187,403,22,NA,0,78.1,0,0,NA,2,3696,0,0,0,NA,NA,NA,NA,NA,NA,NA
