jurisdiction,year,quarter,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien
Sonoma Sheriff's Department,2020,1,Sonoma County,06,097,06097,1,318525,120298,26,13,54,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2020,1,Stanislaus County,06,099,06099,1,153442,59739,25,8,78,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2020,1,Sutter County,06,101,06101,0,73272,43286,NA,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2020,1,Tehama County,06,103,06103,1,34447,11075,22,0,45,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2020,1,Trinity County,06,105,06105,0,NA,NA,12,7,21,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2020,1,Tulare County,06,107,06107,6,279741,49697,30,19,82,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2020,1,Tuolumne County,06,109,06109,0,47296,2747,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2020,1,Ventura County,06,111,06111,22,230059,73306,NA,NA,NA,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2020,1,Yolo County,06,113,06113,8,98513,52276,NA,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2020,1,Yuba County,06,115,06115,0,65914,12478,NA,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2019,4,Alameda County,06,001,06001,22,369721,275441,25,21,67,NA,NA,NA,NA,NA
Amador Sheriff's Department,2019,4,Amador County,06,005,06005,0,40939,18925,23.41,4.85,46.02,NA,NA,NA,NA,NA
Butte Sheriff's Department,2019,4,Butte County,06,007,06007,0,100191,12534,12,5,30,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2019,4,Calaveras County,06,009,06009,0,9839,4146,36,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2019,4,Colusa County,06,011,06011,0,6739,2903,24.49,13.54,54.41,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2019,4,Contra Costa County,06,013,06013,13,745478,478788,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2019,4,Del Norte County,06,015,06015,0,14117,5151,14.9,6.9,36.8,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2019,4,El Dorado County,06,017,06017,1,109772,12630,23.5,11.3,62.1,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2019,4,Fresno County,06,019,06019,5,223419,111641,26.6,22.8,25.1,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2019,4,Glenn County,06,021,06021,4,5341,611,42,40,41,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2019,4,Humboldt County,06,023,06023,1,38176,25459,15.3,8.7,41.9,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2019,4,Imperial County,06,025,06025,3,42098,10334,NA,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2019,4,Inyo County,06,027,06027,0,39276,20553,137,87,40,NA,NA,NA,NA,NA
Kern Sheriff's Department,2019,4,Kern County,06,029,06029,3,484094,203298,25.4,14.08,39.56,NA,NA,NA,NA,NA
Kings Sheriff's Department,2019,4,Kings County,06,031,06031,3,93439,20799,35,8,85,NA,NA,NA,NA,NA
Lake Sheriff's Department,2019,4,Lake County,06,033,06033,NA,67755,8509,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2019,4,Lassen County,06,035,06035,0,16460,4858,17,7,89,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2019,4,Los Angeles County,06,037,06037,NA,8603261,2529772,62,5,64,NA,NA,NA,NA,NA
Madera Corrections Department,2019,4,Madera County,06,039,06039,1,39048,11225,36,6,93,NA,NA,NA,NA,NA
Marin Sheriff's Department,2019,4,Marin County,06,041,06041,NA,111158,10094,18,11,14,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2019,4,Mariposa County,06,043,06043,0,12110,4206,NA,NA,NA,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2019,4,Mendocino County,06,045,06045,4,36817,4732,29,3,65,NA,NA,NA,NA,NA
Merced Sheriff's Department,2019,4,Merced County,06,047,06047,20,108914,36271,34.3,25.1,44.3,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2019,4,Modoc County,06,049,06049,0,9912,5729,129,75,54,NA,NA,NA,NA,NA
Mono Sheriff's Department,2019,4,Mono County,06,051,06051,0,9400,NA,131,93,38,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2019,4,Monterey County,06,053,06053,0,26081,7631,30.7,24.7,39.2,NA,NA,NA,NA,NA
Napa Corrections Department,2019,4,Napa County,06,055,06055,13,60793,25981,25,25,24,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2019,4,Nevada County,06,057,06057,NA,42968,10144,18,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2019,4,Orange County,06,059,06059,15,1205139,239353,38.5,1.3,42.8,NA,NA,NA,NA,NA
Placer Sheriff's Department,2019,4,Placer County,06,061,06061,4,171820,58048,26.6,15.48,65.24000000000001,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2019,4,Plumas County,06,063,06063,0,22672,1463,14,10,24,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2019,4,Riverside County,06,065,06065,18,672054,440381,29,NA,NA,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2019,4,Sacramento County,06,067,06067,32,1039877,414929,38,30,57,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2019,4,San Benito County,06,069,06069,1,29495,17078,20.6,10.6,46,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2019,4,San Bernardino County,06,071,06071,31,NA,NA,125,121,126,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2019,4,San Diego County,06,073,06073,43,977700,239538,28.2,15.3,72.9,NA,NA,NA,NA,NA
San Diego Work Furlough,2019,4,San Diego County,06,073,06073,0,NA,0,68.9,42.4,69.7,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2019,4,San Francisco County,06,075,06075,11,786371,146413,25.3,13.08,72.1,NA,NA,NA,NA,NA
