jurisdiction,year,quarter,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien
Calaveras Sheriff's Department,2012,4,Calaveras County,06,009,06009,1,9292,2943,12,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2012,4,Colusa County,06,011,06011,0,9795,9457,10.950000000000001,6.119999999999999,25.186,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2012,4,Contra Costa County,06,013,06013,14,219901,75153,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2012,4,Del Norte County,06,015,06015,1,NA,NA,18,12,16,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2012,4,El Dorado County,06,017,06017,0,NA,NA,19.2,9.2,65.4,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2012,4,Fresno County,06,019,06019,54,168053,23920,25,12,29,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2012,4,Glenn County,06,021,06021,0,6883,3268,31.2,19.4,69.5,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2012,4,Humboldt County,06,023,06023,3,36207,15324,13.75,5.89,47.449999999999996,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2012,4,Imperial County,06,025,06025,1,25787,1048,13,10,59,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2012,4,Inyo County,06,027,06027,6,13579,8087,21,10,41,NA,NA,NA,NA,NA
Kern Sheriff's Department,2012,4,Kern County,06,029,06029,9,113765,24055,25,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2012,4,Kings County,06,031,06031,1,41245,23798,NA,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2012,4,Lake County,06,033,06033,NA,22736,9818,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2012,4,Lassen County,06,035,06035,0,26164,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2012,4,Los Angeles County,06,037,06037,30,4754082,1064545,52.999,11.671,54.899,NA,NA,NA,NA,NA
Madera Corrections Department,2012,4,Madera County,06,039,06039,2,47438,4748,30,4,63,NA,NA,NA,NA,NA
Marin Sheriff's Department,2012,4,Marin County,06,041,06041,NA,NA,NA,19,15,37,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2012,4,Mariposa County,06,043,06043,1,7624,4039,16.2,7.4,39.8,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2012,4,Mendocino County,06,045,06045,3,11165,5945,NA,NA,NA,NA,NA,NA,NA,NA
Merced Sheriff's Department,2012,4,Merced County,06,047,06047,NA,NA,NA,31,32,30,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2012,4,Modoc County,06,049,06049,0,13015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mono Sheriff's Department,2012,4,Mono County,06,051,06051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2012,4,Monterey County,06,053,06053,8,60135,24957,NA,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2012,4,Napa County,06,055,06055,0,48525,15691,NA,NA,NA,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2012,4,Nevada County,06,057,06057,NA,18764,10263,NA,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2012,4,Orange County,06,059,06059,7,534758,103855,44.2,1.3,47.7,NA,NA,NA,NA,NA
Santa Ana Police Department,2012,4,Orange County,06,059,06059,0,204520,29232,20,NA,20,NA,NA,NA,NA,NA
Placer Sheriff's Department,2012,4,Placer County,06,061,06061,7,53691,14274,NA,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2012,4,Plumas County,06,063,06063,1,5359,1471,16.2,2.8,36.4,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2012,4,Riverside County,06,065,06065,22,594919,339977,27.06,16.72,37.4,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2012,4,Sacramento County,06,067,06067,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2012,4,San Benito County,06,069,06069,2,19655,7620,26,11,51,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2012,4,San Bernardino County,06,071,06071,20,359830,123419,42,NA,NA,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2012,4,San Diego County,06,073,06073,22,715581,176150,20.5,8.3,61.8,NA,NA,NA,NA,NA
San Diego Work Furlough,2012,4,San Diego County,06,073,06073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2012,4,San Francisco County,06,075,06075,21,603798,49390,NA,NA,NA,NA,NA,NA,NA,NA
San Joaquin Sheriff's Department,2012,4,San Joaquin County,06,077,06077,NA,NA,NA,39,4,35,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2012,4,San Luis Obispo County,06,079,06079,2,21678,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2012,4,San Mateo County,06,081,06081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2012,4,Santa Barbara County,06,083,06083,5,166881,96609,19,13,24,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2012,4,Santa Clara County,06,085,06085,2,158134,133185,34,39,95,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2012,4,Santa Cruz County,06,087,06087,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2012,4,Shasta County,06,089,06089,1,38417,16080,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Sheriff's Department,2012,4,Sierra County,06,091,06091,0,NA,NA,9,7,2,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2012,4,Siskiyou County,06,093,06093,1,NA,NA,34,7,23,NA,NA,NA,NA,NA
Solano Sheriff's Department,2012,4,Solano County,06,095,06095,5,90403,36382,24,NA,NA,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2012,4,Sonoma County,06,097,06097,15,127160,55915,23.5,4.8,52.9,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2012,4,Stanislaus County,06,099,06099,1,61022,11543,18,8,47,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2012,4,Sutter County,06,101,06101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2012,4,Tehama County,06,103,06103,0,20334,11305,20,NA,NA,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2012,4,Trinity County,06,105,06105,5,17532,7239,39,15,108,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2012,4,Tulare County,06,107,06107,NA,NA,NA,47.949999999999996,25.32,85.69,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2012,4,Tuolumne County,06,109,06109,0,3878,503,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2012,4,Ventura County,06,111,06111,1,188895,29789,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Work Furlough,2012,4,Ventura County,06,111,06111,0,0,0,49,NA,54,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2012,4,Yolo County,06,113,06113,1,63133,13701,NA,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2012,4,Yuba County,06,115,06115,7,26631,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2012,3,Alameda County,06,001,06001,12,1213138,624598,NA,NA,NA,NA,NA,NA,NA,NA
Amador Sheriff's Department,2012,3,Amador County,06,005,06005,0,12567,5084,56.47,7.21,49.260000000000005,NA,NA,NA,NA,NA
Butte Sheriff's Department,2012,3,Butte County,06,007,06007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2012,3,Calaveras County,06,009,06009,0,12317,6059,12,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2012,3,Colusa County,06,011,06011,0,652,0,12.215,7.617999999999999,25.974,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2012,3,Contra Costa County,06,013,06013,12,216005,76143,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2012,3,Del Norte County,06,015,06015,0,NA,NA,16,9,31,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2012,3,El Dorado County,06,017,06017,3,NA,NA,17.2,8.8,57.3,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2012,3,Fresno County,06,019,06019,9,142518,29548,19.1,14.2,11.6,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2012,3,Glenn County,06,021,06021,0,7826,2346,32,18.5,64.9,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2012,3,Humboldt County,06,023,06023,0,68347,47081,13.98,7.18,47.74,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2012,3,Imperial County,06,025,06025,1,9523,39970,10,7,40,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2012,3,Inyo County,06,027,06027,1,14328,7692,23,4,42,NA,NA,NA,NA,NA
Kern Sheriff's Department,2012,3,Kern County,06,029,06029,12,104548,37322,25,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2012,3,Kings County,06,031,06031,0,36345,20703,NA,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2012,3,Lake County,06,033,06033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2012,3,Lassen County,06,035,06035,0,26819,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2012,3,Los Angeles County,06,037,06037,25,4238967,1173420,47.04,17.59,48.5,NA,NA,NA,NA,NA
Madera Corrections Department,2012,3,Madera County,06,039,06039,4,41456,21922,64,3,30,NA,NA,NA,NA,NA
Marin Sheriff's Department,2012,3,Marin County,06,041,06041,NA,31278,21653,16.2,12,34,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2012,3,Mariposa County,06,043,06043,0,13094,6683,11.4,5.8,39.3,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2012,3,Mendocino County,06,045,06045,5,7214,617,NA,NA,NA,NA,NA,NA,NA,NA
Merced Sheriff's Department,2012,3,Merced County,06,047,06047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2012,3,Modoc County,06,049,06049,0,14138,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mono Sheriff's Department,2012,3,Mono County,06,051,06051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2012,3,Monterey County,06,053,06053,5,76466,39063,NA,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2012,3,Napa County,06,055,06055,1,70501,45798,NA,NA,NA,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2012,3,Nevada County,06,057,06057,NA,34576,20730,NA,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2012,3,Orange County,06,059,06059,9,579217,152558,41.8,1.3,38.2,NA,NA,NA,NA,NA
Santa Ana Police Department,2012,3,Orange County,06,059,06059,0,207457,28799,17,NA,17,NA,NA,NA,NA,NA
Placer Sheriff's Department,2012,3,Placer County,06,061,06061,7,66970,25558,NA,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2012,3,Plumas County,06,063,06063,1,7631,1297,7.1,3,14.7,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2012,3,Riverside County,06,065,06065,24,642787,373206,38.379999999999995,12.5,64.26,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2012,3,Sacramento County,06,067,06067,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2012,3,San Benito County,06,069,06069,1,NA,NA,28,7,76,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2012,3,San Bernardino County,06,071,06071,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2012,3,San Diego County,06,073,06073,25,718585,208406,18.8,7,59.6,NA,NA,NA,NA,NA
San Diego Work Furlough,2012,3,San Diego County,06,073,06073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2012,3,San Francisco County,06,075,06075,33,461239,30269,NA,NA,NA,NA,NA,NA,NA,NA
San Joaquin Sheriff's Department,2012,3,San Joaquin County,06,077,06077,NA,NA,NA,57,17,40,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2012,3,San Luis Obispo County,06,079,06079,1,33302,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2012,3,San Mateo County,06,081,06081,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2012,3,Santa Barbara County,06,083,06083,0,168797,104691,19,13,23,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2012,3,Santa Clara County,06,085,06085,1,113188,89962,29,36,85,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2012,3,Santa Cruz County,06,087,06087,4,28043,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2012,3,Shasta County,06,089,06089,1,67899,35124,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Sheriff's Department,2012,3,Sierra County,06,091,06091,0,1352,1192,8,5,3,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2012,3,Siskiyou County,06,093,06093,0,NA,NA,29,8,17,NA,NA,NA,NA,NA
Solano Sheriff's Department,2012,3,Solano County,06,095,06095,4,173899,79973,23.3,NA,NA,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2012,3,Sonoma County,06,097,06097,16,126324,48196,23.6,6.9,54.2,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2012,3,Stanislaus County,06,099,06099,4,81624,19557,20,8,59,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2012,3,Sutter County,06,101,06101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2012,3,Tehama County,06,103,06103,0,48833,33704,18,NA,NA,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2012,3,Trinity County,06,105,06105,2,17656,10593,19,7,57,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2012,3,Tulare County,06,107,06107,NA,NA,NA,38.52,17.51,74.81,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2012,3,Tuolumne County,06,109,06109,1,4532,2880,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2012,3,Ventura County,06,111,06111,5,236240,120528,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Work Furlough,2012,3,Ventura County,06,111,06111,0,242,NA,48,NA,49,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2012,3,Yolo County,06,113,06113,0,107825,49168,NA,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2012,3,Yuba County,06,115,06115,5,21128,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2012,2,Alameda County,06,001,06001,12,1142987,510254,NA,NA,NA,NA,NA,NA,NA,NA
Amador Sheriff's Department,2012,2,Amador County,06,005,06005,0,7626,3108,65.52,7.470000000000001,58.05,NA,NA,NA,NA,NA
Butte Sheriff's Department,2012,2,Butte County,06,007,06007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2012,2,Calaveras County,06,009,06009,0,12457,5473,17,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2012,2,Colusa County,06,011,06011,0,1326,210,9.61,5.56,22.67,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2012,2,Contra Costa County,06,013,06013,1,254687,102195,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2012,2,Del Norte County,06,015,06015,0,NA,NA,16,6,14,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2012,2,El Dorado County,06,017,06017,1,NA,NA,16.7,5.3,60.4,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2012,2,Fresno County,06,019,06019,37,145440,18938,19.1,11.7,14.2,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2012,2,Glenn County,06,021,06021,0,10308,2583,28.5,18.1,72,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2012,2,Humboldt County,06,023,06023,0,42670,17580,14,7,44,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2012,2,Imperial County,06,025,06025,0,38448,9018,13,10,58,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2012,2,Inyo County,06,027,06027,0,15065,8445,23.5,7.3,46,NA,NA,NA,NA,NA
Kern Sheriff's Department,2012,2,Kern County,06,029,06029,8,116936,30411,26,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2012,2,Kings County,06,031,06031,0,37343,19707,NA,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2012,2,Lake County,06,033,06033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2012,2,Lassen County,06,035,06035,0,32400,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2012,2,Los Angeles County,06,037,06037,24,4879210,1838296,47.7,28.2,48.9,NA,NA,NA,NA,NA
Madera Corrections Department,2012,2,Madera County,06,039,06039,1,46083,24414,62,3,29,NA,NA,NA,NA,NA
Marin Sheriff's Department,2012,2,Marin County,06,041,06041,3,24082,17852,14.5,10.9,29.1,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2012,2,Mariposa County,06,043,06043,0,18073,12348,12.6,4.8,40,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2012,2,Mendocino County,06,045,06045,1,8395,1633,NA,NA,NA,NA,NA,NA,NA,NA
Merced Sheriff's Department,2012,2,Merced County,06,047,06047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2012,2,Modoc County,06,049,06049,4,15377,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mono Sheriff's Department,2012,2,Mono County,06,051,06051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2012,2,Monterey County,06,053,06053,6,78528,35925,NA,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2012,2,Napa County,06,055,06055,0,73167,54519,NA,NA,NA,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2012,2,Nevada County,06,057,06057,4,37178,22872,NA,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2012,2,Orange County,06,059,06059,12,890651,441685,40.3,1.3,37.3,NA,NA,NA,NA,NA
Santa Ana Police Department,2012,2,Orange County,06,059,06059,0,211741,29788,16.5,NA,16.5,NA,NA,NA,NA,NA
Placer Sheriff's Department,2012,2,Placer County,06,061,06061,1,62513,20100,NA,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2012,2,Plumas County,06,063,06063,0,25618,2270,8.6,3.3,17.6,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2012,2,Riverside County,06,065,06065,12,NA,NA,33.05,12.34,53.77,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2012,2,Sacramento County,06,067,06067,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2012,2,San Benito County,06,069,06069,0,15043,7666,30,6,76,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2012,2,San Bernardino County,06,071,06071,NA,225803,10027,45,NA,NA,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2012,2,San Diego County,06,073,06073,27,768914,214583,19.7,6.8,64.6,NA,NA,NA,NA,NA
San Diego Work Furlough,2012,2,San Diego County,06,073,06073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2012,2,San Francisco County,06,075,06075,30,594605,62115,NA,NA,NA,NA,NA,NA,NA,NA
San Joaquin Sheriff's Department,2012,2,San Joaquin County,06,077,06077,NA,NA,NA,43,7,36,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2012,2,San Luis Obispo County,06,079,06079,1,27778,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2012,2,San Mateo County,06,081,06081,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2012,2,Santa Barbara County,06,083,06083,1,217826,108137,19,13,24,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2012,2,Santa Clara County,06,085,06085,3,146151,69661,29,38,80,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2012,2,Santa Cruz County,06,087,06087,0,75777,27267,NA,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2012,2,Shasta County,06,089,06089,NA,67899,35124,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Sheriff's Department,2012,2,Sierra County,06,091,06091,0,83,0,8,6,2,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2012,2,Siskiyou County,06,093,06093,0,NA,NA,21,6,19,NA,NA,NA,NA,NA
Solano Sheriff's Department,2012,2,Solano County,06,095,06095,4,168488,94577,21.7,NA,NA,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2012,2,Sonoma County,06,097,06097,23,164451,95561,22.6,5.3,48,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2012,2,Stanislaus County,06,099,06099,6,61969,33530,18,9,57,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2012,2,Sutter County,06,101,06101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2012,2,Tehama County,06,103,06103,0,97122,67627,24,NA,NA,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2012,2,Trinity County,06,105,06105,0,17798,7119,17,7,58,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2012,2,Tulare County,06,107,06107,NA,NA,NA,44.6,20.22,73.84,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2012,2,Tuolumne County,06,109,06109,0,6420,1561,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2012,2,Ventura County,06,111,06111,1,176246,107872,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Work Furlough,2012,2,Ventura County,06,111,06111,0,146,NA,54,NA,57,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2012,2,Yolo County,06,113,06113,1,103095,52811,NA,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2012,2,Yuba County,06,115,06115,1,26262,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2012,1,Alameda County,06,001,06001,10,930961,414290,101,27,52,NA,NA,NA,NA,NA
Amador Sheriff's Department,2012,1,Amador County,06,005,06005,0,8654,4208,78.38,9.02,69.36,NA,NA,NA,NA,NA
Butte Sheriff's Department,2012,1,Butte County,06,007,06007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2012,1,Calaveras County,06,009,06009,0,11718,4870,14,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2012,1,Colusa County,06,011,06011,0,2180,0,11.529,6.5969999999999995,26.123,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2012,1,Contra Costa County,06,013,06013,2,358502,183781,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2012,1,Del Norte County,06,015,06015,0,NA,NA,17,9,14,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2012,1,El Dorado County,06,017,06017,1,NA,NA,20.8,2.46,53.290000000000006,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2012,1,Fresno County,06,019,06019,30,96836,20477,20,18,18,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2012,1,Glenn County,06,021,06021,0,9704,449,48.1,34.1,98.3,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2012,1,Humboldt County,06,023,06023,2,42688,21539,15,8,42,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2012,1,Imperial County,06,025,06025,0,45444,10310,11,9,44,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2012,1,Inyo County,06,027,06027,0,10869,7546,21,4,42,NA,NA,NA,NA,NA
Kern Sheriff's Department,2012,1,Kern County,06,029,06029,6,136445,44194,23,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2012,1,Kings County,06,031,06031,0,40611,20953,NA,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2012,1,Lake County,06,033,06033,NA,19312,20204,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2012,1,Lassen County,06,035,06035,0,32191,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2012,1,Los Angeles County,06,037,06037,22,4045954,1690906,45.2,36.9,45.7,NA,NA,NA,NA,NA
Madera Corrections Department,2012,1,Madera County,06,039,06039,0,61969,32796,77,4,73,NA,NA,NA,NA,NA
Marin Sheriff's Department,2012,1,Marin County,06,041,06041,4,13948,20889,20.89,12.8,36,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2012,1,Mariposa County,06,043,06043,0,26168,15618,16.6,7.8,35.1,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2012,1,Mendocino County,06,045,06045,2,16669,5376,NA,NA,NA,NA,NA,NA,NA,NA
Merced Sheriff's Department,2012,1,Merced County,06,047,06047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2012,1,Modoc County,06,049,06049,2,7776,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mono Sheriff's Department,2012,1,Mono County,06,051,06051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2012,1,Monterey County,06,053,06053,3,76466,39063,NA,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2012,1,Napa County,06,055,06055,0,89795,56123,NA,NA,NA,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2012,1,Nevada County,06,057,06057,NA,29899,16408,NA,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2012,1,Orange County,06,059,06059,4,927546,529089,38.6,1.3,41.7,NA,NA,NA,NA,NA
Santa Ana Police Department,2012,1,Orange County,06,059,06059,0,209565,25976,16.6,NA,16.6,NA,NA,NA,NA,NA
Placer Sheriff's Department,2012,1,Placer County,06,061,06061,1,66316,24272,NA,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2012,1,Plumas County,06,063,06063,0,15061,3767,8.8,3.4,18,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2012,1,Riverside County,06,065,06065,13,NA,NA,34.68,16.93,63.290000000000006,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2012,1,Sacramento County,06,067,06067,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2012,1,San Benito County,06,069,06069,2,13744,7770,32,11,87,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2012,1,San Bernardino County,06,071,06071,18,319007,90130,55,NA,NA,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2012,1,San Diego County,06,073,06073,12,716469,255697,20,5.8,69.7,NA,NA,NA,NA,NA
San Diego Work Furlough,2012,1,San Diego County,06,073,06073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2012,1,San Francisco County,06,075,06075,21,546699,76762,NA,NA,NA,NA,NA,NA,NA,NA
