"","county","date","pretrial_release","sentenced_release"
"627","Santa Barbara County",2007-04-01,9,50
"628","Santa Clara County",2007-04-01,135,117
"629","Shasta County",2007-04-01,27.3,18.3
"630","Siskiyou County",2007-04-01,15,21
"631","Sonoma County",2007-04-01,4.8,52.8
"632","Stanislaus County",2007-04-01,7,70
"633","Trinity County",2007-04-01,5,51
"634","Tulare County",2007-04-01,7.82,59.52
"635","Alameda County",2007-07-01,19.06,57.23
"636","Amador County",2007-07-01,2.54,8.84
"637","Colusa County",2007-07-01,6.82,20.89
"638","Del Norte County",2007-07-01,19,21
"639","El Dorado County",2007-07-01,2.35,49
"640","Fresno County",2007-07-01,29.9,17.3
"641","Glenn County",2007-07-01,9.5,22.66
"642","Humboldt County",2007-07-01,8,49
"643","Inyo County",2007-07-01,8,55
"644","Los Angeles County",2007-07-01,23.91,48.9
"645","Madera County",2007-07-01,7,56
"646","Marin County",2007-07-01,14.1,46.6
"647","Mariposa County",2007-07-01,17,15
"648","Napa County",2007-07-01,10.5,59.3
"649","Orange County",2007-07-01,1.2,36
"650","Orange County",2007-07-01,2,88
"651","Plumas County",2007-07-01,5.1,10.6
"652","San Diego County",2007-07-01,5.3,71.2
"653","San Joaquin County",2007-07-01,38,19
"654","San Mateo County",2007-07-01,16,23
"655","Santa Barbara County",2007-07-01,8,52
"656","Santa Clara County",2007-07-01,132,123
"657","Shasta County",2007-07-01,29,22.8
"658","Siskiyou County",2007-07-01,10,19
"659","Sonoma County",2007-07-01,5.4,55.7
"660","Stanislaus County",2007-07-01,8,73
"661","Trinity County",2007-07-01,4,40
"662","Tulare County",2007-07-01,24.35,39.79
"663","Alameda County",2007-10-01,20.06,58.7
"664","Amador County",2007-10-01,3.92,5.96
"665","Colusa County",2007-10-01,7.78,18.02
"666","Del Norte County",2007-10-01,18,22
"667","El Dorado County",2007-10-01,3.15,56.74
"668","Fresno County",2007-10-01,29.9,17.3
"669","Glenn County",2007-10-01,9.5,21.5
"670","Humboldt County",2007-10-01,7,42
"671","Inyo County",2007-10-01,13,49
"672","Los Angeles County",2007-10-01,23.49,58.01
"673","Madera County",2007-10-01,7,56
"674","Marin County",2007-10-01,12,44.3
"675","Mariposa County",2007-10-01,17,19
"676","Napa County",2007-10-01,9,40
"677","Orange County",2007-10-01,1.2,36.3
"678","Orange County",2007-10-01,2,90
"679","Plumas County",2007-10-01,5.6,15.7
"680","San Benito County",2007-10-01,5,48
"681","San Diego County",2007-10-01,5.9,80.7
"682","San Joaquin County",2007-10-01,45,20
"683","San Mateo County",2007-10-01,14,23
"684","Santa Barbara County",2007-10-01,8,51
"685","Santa Clara County",2007-10-01,138,126
"686","Shasta County",2007-10-01,31.9,21.5
"687","Sierra County",2007-10-01,4,2
"688","Siskiyou County",2007-10-01,13,18
"689","Sonoma County",2007-10-01,4.1,58.7
"690","Stanislaus County",2007-10-01,9,67
"691","Trinity County",2007-10-01,6,44
"692","Tulare County",2007-10-01,28.75,57.84
"693","Alameda County",2008-01-01,27,61
"694","Amador County",2008-01-01,3.69,11.55
"695","Colusa County",2008-01-01,6.65,17.82
"696","Del Norte County",2008-01-01,18,21
"697","El Dorado County",2008-01-01,1.96,56
"698","Fresno County",2008-01-01,25.08,83.27
"699","Glenn County",2008-01-01,7.4,24.77
"700","Humboldt County",2008-01-01,8,52
"701","Inyo County",2008-01-01,11.7,57.5
"702","Los Angeles County",2008-01-01,27.79,56
"703","Marin County",2008-01-01,13.8,36.8
"704","Mariposa County",2008-01-01,15,15
"705","Napa County",2008-01-01,17,11
"706","Orange County",2008-01-01,1.7,42
"707","Orange County",2008-01-01,2,92
"708","Plumas County",2008-01-01,8.8,13.4
"709","Riverside County",2008-01-01,1.8,83.99
"710","San Benito County",2008-01-01,4,52
"711","San Diego County",2008-01-01,5.5,81.5
"712","San Joaquin County",2008-01-01,52,20
"713","San Mateo County",2008-01-01,16,23
"714","Santa Barbara County",2008-01-01,9,62
"715","Santa Clara County",2008-01-01,134,132
"716","Sierra County",2008-01-01,3,4
"717","Siskiyou County",2008-01-01,11,21
"718","Sonoma County",2008-01-01,4,53.7
"719","Stanislaus County",2008-01-01,7,68
"720","Trinity County",2008-01-01,5,55
"721","Tulare County",2008-01-01,24.78,66.35
"722","Alameda County",2008-04-01,21,58
"723","Amador County",2008-04-01,5.5,12.91
"724","Colusa County",2008-04-01,5.25,19.66
"725","Del Norte County",2008-04-01,12,29
"726","El Dorado County",2008-04-01,3.8,62.6
"727","Fresno County",2008-04-01,25,28
"728","Glenn County",2008-04-01,4.25,14.62
"729","Humboldt County",2008-04-01,8,43
"730","Inyo County",2008-04-01,6.44,80.14
"731","Los Angeles County",2008-04-01,25.04,56.31
"732","Madera County",2008-04-01,8,46
"733","Marin County",2008-04-01,13.5,40.3
"734","Mariposa County",2008-04-01,17,16
"735","Napa County",2008-04-01,14,17
"736","Orange County",2008-04-01,1.2,41.5
"737","Orange County",2008-04-01,17,90
"738","Plumas County",2008-04-01,3.5,12.8
"739","Riverside County",2008-04-01,5.72,73.54
"740","San Benito County",2008-04-01,4,44
"741","San Diego County",2008-04-01,5.4,79.1
"742","San Joaquin County",2008-04-01,48,18
"743","San Mateo County",2008-04-01,15,23
"744","Santa Barbara County",2008-04-01,9,54
"745","Santa Clara County",2008-04-01,132,129
"746","Sierra County",2008-04-01,1,1
"747","Siskiyou County",2008-04-01,9,20
"748","Sonoma County",2008-04-01,4.3,52
"749","Stanislaus County",2008-04-01,8,72
"750","Trinity County",2008-04-01,4,56
"751","Tulare County",2008-04-01,21.9,67.79
"752","Alameda County",2008-07-01,64,24
"753","Amador County",2008-07-01,9,17.67
"754","Colusa County",2008-07-01,6.13,17.61
"755","Del Norte County",2008-07-01,7,4
"756","El Dorado County",2008-07-01,3.2,46.1
"757","Fresno County",2008-07-01,23.1,25.7
"758","Glenn County",2008-07-01,5.7,32.7
"759","Humboldt County",2008-07-01,8,40
"760","Inyo County",2008-07-01,14.12,74.46
"761","Los Angeles County",2008-07-01,23.8,54
"762","Marin County",2008-07-01,17.5,44.7
"763","Mariposa County",2008-07-01,13,14
"764","Napa County",2008-07-01,15,20
"765","Orange County",2008-07-01,1.2,39.6
"766","Orange County",2008-07-01,19.6,90
"767","Plumas County",2008-07-01,3,10.3
"768","Riverside County",2008-07-01,9.64,63.09
"769","San Benito County",2008-07-01,6,47
"770","San Diego County",2008-07-01,5.2,75.3
"771","San Joaquin County",2008-07-01,46,19
"772","San Mateo County",2008-07-01,11.6,45.2
"773","Santa Barbara County",2008-07-01,12,20
"774","Santa Clara County",2008-07-01,132,124
"775","Sierra County",2008-07-01,2,3
"776","Siskiyou County",2008-07-01,9,23
"777","Sonoma County",2008-07-01,4.2,50.9
"778","Stanislaus County",2008-07-01,7,67
"779","Trinity County",2008-07-01,4,59
"780","Tulare County",2008-07-01,27.65,69.89
"781","Alameda County",2008-10-01,20,69
"782","Amador County",2008-10-01,4.43,17.04
"783","Colusa County",2008-10-01,6.44,19.81
"784","Del Norte County",2008-10-01,16,21
"785","El Dorado County",2008-10-01,3.7,62.6
"786","Fresno County",2008-10-01,19.5,26.1
"787","Glenn County",2008-10-01,6,11
"788","Humboldt County",2008-10-01,7.81,40.77
"789","Inyo County",2008-10-01,13,57
"790","Los Angeles County",2008-10-01,28.8,56.6
"791","Madera County",2008-10-01,8,59
"792","Marin County",2008-10-01,14.4,39.5
"793","Mariposa County",2008-10-01,13,15
"794","Orange County",2008-10-01,1.2,41.7
"795","Plumas County",2008-10-01,4.1,12.8
"796","Riverside County",2008-10-01,14.99,74.05
"797","San Benito County",2008-10-01,4,45
"798","San Diego County",2008-10-01,5.9,74.9
"799","San Joaquin County",2008-10-01,19,34
"800","San Mateo County",2008-10-01,14.2,30.4
"801","Santa Barbara County",2008-10-01,12,22
"802","Santa Clara County",2008-10-01,137,131
"803","Sierra County",2008-10-01,2,1
"804","Siskiyou County",2008-10-01,7,25
"805","Sonoma County",2008-10-01,3.5,53.9
"806","Stanislaus County",2008-10-01,7,71
"807","Trinity County",2008-10-01,6,39
"808","Tulare County",2008-10-01,35.34,66.03
"809","Alameda County",2009-01-01,23,71
"810","Amador County",2009-01-01,6.9,18
"811","Colusa County",2009-01-01,6.5,17.47
"812","Del Norte County",2009-01-01,15,21
"813","El Dorado County",2009-01-01,2.72,45.81
"814","Fresno County",2009-01-01,22.3,16.1
"815","Humboldt County",2009-01-01,7,43
"816","Inyo County",2009-01-01,20,41
"817","Los Angeles County",2009-01-01,22.7,54.9
"818","Madera County",2009-01-01,7,52
"819","Marin County",2009-01-01,10.2,35.6
"820","Mariposa County",2009-01-01,15,15
"821","Orange County",2009-01-01,1.2,41.7
"822","Plumas County",2009-01-01,2.4,18.7
"823","Riverside County",2009-01-01,17.38,73.26
"824","San Benito County",2009-01-01,5,51
"825","San Diego County",2009-01-01,5.2,77
"826","San Joaquin County",2009-01-01,5,19
"827","Santa Barbara County",2009-01-01,12,20
"828","Santa Clara County",2009-01-01,147,135
"829","Sierra County",2009-01-01,2,3
"830","Siskiyou County",2009-01-01,8,27
"831","Sonoma County",2009-01-01,4.4,52.4
"832","Stanislaus County",2009-01-01,7,65
"833","Trinity County",2009-01-01,6,51
"834","Tulare County",2009-01-01,14.79,53.98
"835","Alameda County",2009-04-01,23,61
"836","Amador County",2009-04-01,1.77,56.5
"837","Colusa County",2009-04-01,5.28,18.76
"838","Del Norte County",2009-04-01,4,25
"839","El Dorado County",2009-04-01,2.41,48.42
"840","Fresno County",2009-04-01,19.9,17.1
"841","Humboldt County",2009-04-01,7,41
"842","Inyo County",2009-04-01,7,53
"843","Los Angeles County",2009-04-01,30.3,54.3
"844","Madera County",2009-04-01,7,65
"845","Marin County",2009-04-01,12.7,31.7
"846","Mariposa County",2009-04-01,18,16
"847","Orange County",2009-04-01,1.2,42.1
"848","Plumas County",2009-04-01,4.1,17.3
"849","Riverside County",2009-04-01,17,97
"850","San Benito County",2009-04-01,5,52
"851","San Diego County",2009-04-01,5.2,69.1
"852","San Joaquin County",2009-04-01,22,18
"853","Santa Barbara County",2009-04-01,12,20
"854","Santa Clara County",2009-04-01,151,129
"855","Sierra County",2009-04-01,1,1
"856","Siskiyou County",2009-04-01,6,23
"857","Sonoma County",2009-04-01,4.4,22.9
"858","Stanislaus County",2009-04-01,7,77
"859","Trinity County",2009-04-01,6,62
"860","Tulare County",2009-04-01,23.11,67.25
"861","Alameda County",2009-07-01,20,72
"862","Colusa County",2009-07-01,6.03,20.13
"863","Del Norte County",2009-07-01,2,14
"864","El Dorado County",2009-07-01,2.38,49.25
"865","Fresno County",2009-07-01,16.9,13.6
"866","Humboldt County",2009-07-01,7,48
"867","Inyo County",2009-07-01,3,47
"868","Los Angeles County",2009-07-01,31.2,58.1
"869","Madera County",2009-07-01,6,57
"870","Marin County",2009-07-01,11.2,37.8
"871","Mariposa County",2009-07-01,7.1,26.1
"872","Orange County",2009-07-01,1.2,43.6
"873","Plumas County",2009-07-01,5.6,14.5
"874","Riverside County",2009-07-01,17.18,84.01
"875","San Benito County",2009-07-01,6,45
"876","San Diego County",2009-07-01,5.5,72.9
"877","San Joaquin County",2009-07-01,36,18
"878","Santa Barbara County",2009-07-01,12,21
"879","Santa Clara County",2009-07-01,159,128
"880","Sierra County",2009-07-01,1,2
"881","Siskiyou County",2009-07-01,7,20
"882","Sonoma County",2009-07-01,5.9,57.6
"883","Stanislaus County",2009-07-01,8,77
"884","Trinity County",2009-07-01,4,47
"885","Tulare County",2009-07-01,21.24,58.59
"886","Alameda County",2009-10-01,23,51
"887","Amador County",2009-10-01,5.67,11.51
"888","Colusa County",2009-10-01,6.6,23.7
"889","Del Norte County",2009-10-01,2,18
"890","El Dorado County",2009-10-01,2.93,49.08
"891","Fresno County",2009-10-01,23.4,7.2
"892","Humboldt County",2009-10-01,7,70
"893","Inyo County",2009-10-01,23,54
"894","Los Angeles County",2009-10-01,36.7,59.5
"895","Madera County",2009-10-01,6,57
"896","Marin County",2009-10-01,14.6,38.3
"897","Mariposa County",2009-10-01,8.6,45.7
"898","Orange County",2009-10-01,1.2,36.7
"899","Plumas County",2009-10-01,4.9,18.4
"900","Riverside County",2009-10-01,13.14,95.55
"901","San Benito County",2009-10-01,8,63
"902","San Diego County",2009-10-01,5.3,74.9
"903","San Joaquin County",2009-10-01,20,15
"904","Santa Barbara County",2009-10-01,12,23
"905","Santa Clara County",2009-10-01,159,130
"906","Sierra County",2009-10-01,3,4
"907","Siskiyou County",2009-10-01,6,24
"908","Sonoma County",2009-10-01,4.1,55.7
"909","Stanislaus County",2009-10-01,9,73
"910","Trinity County",2009-10-01,7,36
"911","Tulare County",2009-10-01,22.77,66.88
"912","Alameda County",2010-01-01,21,47
"913","Amador County",2010-01-01,36.93,46.18
"914","Colusa County",2010-01-01,5.9,16.64
"915","Del Norte County",2010-01-01,4,19
"916","El Dorado County",2010-01-01,2.2,54.1
"917","Fresno County",2010-01-01,25.9,15.3
"918","Humboldt County",2010-01-01,9,47
"919","Los Angeles County",2010-01-01,36.9,53.9
"920","Madera County",2010-01-01,4,53
"921","Marin County",2010-01-01,13.6,35.6
"922","Mariposa County",2010-01-01,9,45
"923","Orange County",2010-01-01,1.2,35.9
"924","Plumas County",2010-01-01,4.3,20.1
"925","Riverside County",2010-01-01,7.24,104.25
"926","San Benito County",2010-01-01,8,70
"927","San Diego County",2010-01-01,5.4,71.4
"928","San Joaquin County",2010-01-01,70,19
"929","Santa Barbara County",2010-01-01,13,19
"930","Santa Clara County",2010-01-01,35,104
"931","Sierra County",2010-01-01,2,3
"932","Siskiyou County",2010-01-01,4,29
"933","Sonoma County",2010-01-01,5.8,52.5
"934","Stanislaus County",2010-01-01,9,76
"935","Trinity County",2010-01-01,4,49
"936","Tulare County",2010-01-01,29.29,71.16
"937","Alameda County",2010-04-01,22,49
"938","Amador County",2010-04-01,11.42,26.95
"939","Colusa County",2010-04-01,5.89,16.99
"940","Del Norte County",2010-04-01,8,15
"941","El Dorado County",2010-04-01,5.2,53.8
"942","Fresno County",2010-04-01,16.1,15.3
"943","Humboldt County",2010-04-01,8,45
"944","Los Angeles County",2010-04-01,20.5,53.8
"945","Madera County",2010-04-01,6,43
"946","Marin County",2010-04-01,10.6,26.6
"947","Mariposa County",2010-04-01,7,49
"948","Orange County",2010-04-01,1.2,36.3
"949","Plumas County",2010-04-01,5,16.3
"950","Riverside County",2010-04-01,13.44,73.49
"951","San Benito County",2010-04-01,5,50
"952","San Diego County",2010-04-01,5.1,63.6
"953","San Joaquin County",2010-04-01,49,20
"954","Santa Barbara County",2010-04-01,13,18
"955","Santa Clara County",2010-04-01,36,99
"956","Sierra County",2010-04-01,8,3
"957","Siskiyou County",2010-04-01,3,22
"958","Sonoma County",2010-04-01,4.7,53.2
"959","Stanislaus County",2010-04-01,8,67
"960","Trinity County",2010-04-01,6,38
"961","Tulare County",2010-04-01,22.48,60.12
"962","Alameda County",2010-07-01,26,52
"963","Amador County",2010-07-01,6.04,23.81
"964","Colusa County",2010-07-01,6.49,18.23
"965","Del Norte County",2010-07-01,10,15
"966","El Dorado County",2010-07-01,4.1,45.9
"967","Fresno County",2010-07-01,10.4,16
"968","Humboldt County",2010-07-01,8,47
"969","Inyo County",2010-07-01,2.8,33.7
"970","Los Angeles County",2010-07-01,38.5,50.7
"971","Madera County",2010-07-01,4,56
"972","Marin County",2010-07-01,21.7,31.7
"973","Mariposa County",2010-07-01,10,47
"974","Orange County",2010-07-01,1.2,30.9
"975","Plumas County",2010-07-01,3,17.5
"976","Riverside County",2010-07-01,11.6,48.71
"977","San Benito County",2010-07-01,11,57
"978","San Diego County",2010-07-01,4.9,65.2
"979","San Joaquin County",2010-07-01,4,18
"980","Santa Barbara County",2010-07-01,12,18
"981","Santa Clara County",2010-07-01,34,92
"982","Sierra County",2010-07-01,33,4
"983","Siskiyou County",2010-07-01,5,19
"984","Sonoma County",2010-07-01,4.6,49.3
"985","Stanislaus County",2010-07-01,9,75
"986","Trinity County",2010-07-01,6,45
"987","Tulare County",2010-07-01,22.8,58.73
"988","Alameda County",2010-10-01,25,57
"989","Amador County",2010-10-01,14.76,43.39
"990","Colusa County",2010-10-01,5.94,22.27
"991","Del Norte County",2010-10-01,13,17
"992","El Dorado County",2010-10-01,3.07,40.58
"993","Fresno County",2010-10-01,10,13.8
"994","Humboldt County",2010-10-01,9.8,41.1
"995","Inyo County",2010-10-01,4.2,46.7
"996","Los Angeles County",2010-10-01,33,48.9
"997","Madera County",2010-10-01,7,50
"998","Marin County",2010-10-01,15.4,30.8
"999","Mariposa County",2010-10-01,9,36
"1000","Orange County",2010-10-01,1.2,35.3
"1001","Plumas County",2010-10-01,5,11.9
"1002","Riverside County",2010-10-01,10.23,34.74
"1003","San Benito County",2010-10-01,11,60
"1004","San Diego County",2010-10-01,5.6,74.1
"1005","San Joaquin County",2010-10-01,11,19
"1006","Santa Barbara County",2010-10-01,12,18
"1007","Santa Clara County",2010-10-01,36,98
"1008","Sierra County",2010-10-01,4,2
"1009","Siskiyou County",2010-10-01,6,18
"1010","Sonoma County",2010-10-01,5,49.4
"1011","Stanislaus County",2010-10-01,8,64
"1012","Trinity County",2010-10-01,5,41
"1013","Tulare County",2010-10-01,23.3,57.92
"1014","Alameda County",2011-01-01,26,51
"1015","Amador County",2011-01-01,4.56,12.58
"1016","Colusa County",2011-01-01,5.85,20.46
"1017","Del Norte County",2011-01-01,9,16
"1018","El Dorado County",2011-01-01,5.2,45.7
"1019","Fresno County",2011-01-01,11.4,19.7
"1020","Humboldt County",2011-01-01,8,48.2
"1021","Inyo County",2011-01-01,3.3,42.1
"1022","Los Angeles County",2011-01-01,46.4,45.8
"1023","Madera County",2011-01-01,4,57
"1024","Marin County",2011-01-01,12.6,16.9
"1025","Mariposa County",2011-01-01,8,41
"1026","Orange County",2011-01-01,1.3,39
"1027","Plumas County",2011-01-01,7.6,14
"1028","Riverside County",2011-01-01,16.83,49.85
"1029","San Benito County",2011-01-01,8,78
"1030","San Diego County",2011-01-01,5.6,72.4
"1031","San Joaquin County",2011-01-01,59,19
"1032","Santa Barbara County",2011-01-01,10,15
"1033","Santa Clara County",2011-01-01,39,101
"1034","Sierra County",2011-01-01,8,3
"1035","Siskiyou County",2011-01-01,5,24
"1036","Sonoma County",2011-01-01,5.3,49.9
"1037","Stanislaus County",2011-01-01,9,63
"1038","Trinity County",2011-01-01,8,19
"1039","Tulare County",2011-01-01,22.57,56.86
"1040","Alameda County",2011-04-01,26,58
"1041","Amador County",2011-04-01,5.84,25.14
"1042","Colusa County",2011-04-01,4.92,18.23
"1043","Del Norte County",2011-04-01,8,16
"1044","El Dorado County",2011-04-01,3.75,48.85
"1045","Fresno County",2011-04-01,14.9,7.7
"1046","Humboldt County",2011-04-01,8,49
"1047","Inyo County",2011-04-01,9,42
"1048","Los Angeles County",2011-04-01,20,45.5
"1049","Madera County",2011-04-01,4,59
"1050","Marin County",2011-04-01,13,35
"1051","Mariposa County",2011-04-01,7.7,38.2
"1052","Orange County",2011-04-01,1.2,40.4
"1053","Plumas County",2011-04-01,4.2,10.1
"1054","Riverside County",2011-04-01,16.94,67.61
"1055","San Benito County",2011-04-01,9,60
"1056","San Diego County",2011-04-01,5.5,72.6
"1057","San Joaquin County",2011-04-01,4,27
"1058","Santa Barbara County",2011-04-01,13,23
"1059","Santa Clara County",2011-04-01,38,92
"1060","Sierra County",2011-04-01,6,2
"1061","Siskiyou County",2011-04-01,4,21
"1062","Sonoma County",2011-04-01,5.7,54.8
"1063","Stanislaus County",2011-04-01,7,72
"1064","Trinity County",2011-04-01,4,62
"1065","Tulare County",2011-04-01,19.31,44.36
"1066","Alameda County",2011-07-01,26,56
"1067","Amador County",2011-07-01,38.87,50.8
"1068","Colusa County",2011-07-01,6.44,21.24
"1069","Del Norte County",2011-07-01,9,14
"1070","El Dorado County",2011-07-01,2.88,36.04
"1071","Fresno County",2011-07-01,10.5,14.3
"1072","Humboldt County",2011-07-01,9,52
"1073","Inyo County",2011-07-01,3,40
"1074","Los Angeles County",2011-07-01,23.9,42.7
"1075","Madera County",2011-07-01,4,55
"1076","Marin County",2011-07-01,13,36
"1077","Mariposa County",2011-07-01,9,30.2
"1078","Orange County",2011-07-01,1.3,36.8
"1079","Plumas County",2011-07-01,3.7,13.1
"1080","Riverside County",2011-07-01,21.34,100.65
"1081","San Benito County",2011-07-01,9,49
"1082","San Diego County",2011-07-01,5.2,77.6
"1083","San Mateo County",2011-07-01,15,56.9
"1084","Santa Barbara County",2011-07-01,13,21
"1085","Santa Clara County",2011-07-01,42,109
"1086","Sierra County",2011-07-01,7,3
"1087","Siskiyou County",2011-07-01,6,22
"1088","Sonoma County",2011-07-01,3.8,49
"1089","Stanislaus County",2011-07-01,9,60
"1090","Trinity County",2011-07-01,5,67
"1091","Tulare County",2011-07-01,20.69,55.87
"1092","Alameda County",2011-10-01,27,58
"1093","Amador County",2011-10-01,7.28,5.41
"1094","Colusa County",2011-10-01,6.65,25.78
"1095","Del Norte County",2011-10-01,11,17
"1096","El Dorado County",2011-10-01,3.43,53.6
"1097","Fresno County",2011-10-01,13.9,14.3
"1098","Glenn County",2011-10-01,37.2,61.8
"1099","Humboldt County",2011-10-01,8,54
"1100","Inyo County",2011-10-01,5,53
"1101","Los Angeles County",2011-10-01,37.4,45.2
"1102","Madera County",2011-10-01,6,68
"1103","Marin County",2011-10-01,12.2,40.8
"1104","Mariposa County",2011-10-01,4.8,50
"1105","Orange County",2011-10-01,1.3,42
"1106","Plumas County",2011-10-01,4.1,15.2
"1107","Riverside County",2011-10-01,16.27,84.9
"1108","San Benito County",2011-10-01,15,58
"1109","San Diego County",2011-10-01,5.7,73.7
"1110","San Joaquin County",2011-10-01,4,10
"1111","San Mateo County",2011-10-01,20.7,61.9
"1112","Santa Barbara County",2011-10-01,13,22
"1113","Santa Clara County",2011-10-01,39,116
"1114","Sierra County",2011-10-01,3,12
"1115","Siskiyou County",2011-10-01,5,28
"1116","Sonoma County",2011-10-01,5,53.1
"1117","Stanislaus County",2011-10-01,10,67
"1118","Trinity County",2011-10-01,4,54
"1119","Tulare County",2011-10-01,28.44,64.48
"1120","Alameda County",2012-01-01,27,52
"1121","Amador County",2012-01-01,9.02,69.36
"1122","Colusa County",2012-01-01,6.597,26.123
"1123","Del Norte County",2012-01-01,9,14
"1124","El Dorado County",2012-01-01,2.46,53.29
"1125","Fresno County",2012-01-01,18,18
"1126","Glenn County",2012-01-01,34.1,98.3
"1127","Humboldt County",2012-01-01,8,42
"1128","Imperial County",2012-01-01,9,44
"1129","Inyo County",2012-01-01,4,42
"1130","Los Angeles County",2012-01-01,36.9,45.7
"1131","Madera County",2012-01-01,4,73
"1132","Marin County",2012-01-01,12.8,36
"1133","Mariposa County",2012-01-01,7.8,35.1
"1134","Orange County",2012-01-01,1.3,41.7
"1135","Plumas County",2012-01-01,3.4,18
"1136","Riverside County",2012-01-01,16.93,63.29
"1137","San Benito County",2012-01-01,11,87
"1138","San Diego County",2012-01-01,5.8,69.7
"1139","San Joaquin County",2012-01-01,8,64
"1140","Santa Barbara County",2012-01-01,14,24
"1141","Santa Clara County",2012-01-01,37,90
"1142","Sierra County",2012-01-01,2,31
"1143","Siskiyou County",2012-01-01,4,17
"1144","Sonoma County",2012-01-01,6.1,56.2
"1145","Stanislaus County",2012-01-01,9,65
"1146","Trinity County",2012-01-01,9,58
"1147","Tulare County",2012-01-01,25.67,63.52
"1148","Amador County",2012-04-01,7.47,58.05
"1149","Colusa County",2012-04-01,5.56,22.67
"1150","Del Norte County",2012-04-01,6,14
"1151","El Dorado County",2012-04-01,5.3,60.4
"1152","Fresno County",2012-04-01,11.7,14.2
"1153","Glenn County",2012-04-01,18.1,72
"1154","Humboldt County",2012-04-01,7,44
"1155","Imperial County",2012-04-01,10,58
"1156","Inyo County",2012-04-01,7.3,46
"1157","Los Angeles County",2012-04-01,28.2,48.9
"1158","Madera County",2012-04-01,3,29
"1159","Marin County",2012-04-01,10.9,29.1
"1160","Mariposa County",2012-04-01,4.8,40
"1161","Orange County",2012-04-01,1.3,37.3
"1162","Plumas County",2012-04-01,3.3,17.6
"1163","Riverside County",2012-04-01,12.34,53.77
"1164","San Benito County",2012-04-01,6,76
"1165","San Diego County",2012-04-01,6.8,64.6
"1166","San Joaquin County",2012-04-01,7,36
"1167","Santa Barbara County",2012-04-01,13,24
"1168","Santa Clara County",2012-04-01,38,80
"1169","Sierra County",2012-04-01,6,2
"1170","Siskiyou County",2012-04-01,6,19
"1171","Sonoma County",2012-04-01,5.3,48
"1172","Stanislaus County",2012-04-01,9,57
"1173","Trinity County",2012-04-01,7,58
"1174","Tulare County",2012-04-01,20.22,73.84
"1175","Amador County",2012-07-01,7.21,49.26
"1176","Colusa County",2012-07-01,7.618,25.974
"1177","Del Norte County",2012-07-01,9,31
"1178","El Dorado County",2012-07-01,8.8,57.3
"1179","Fresno County",2012-07-01,14.2,11.6
"1180","Glenn County",2012-07-01,18.5,64.9
"1181","Humboldt County",2012-07-01,7.18,47.74
"1182","Imperial County",2012-07-01,7,40
"1183","Inyo County",2012-07-01,4,42
"1184","Los Angeles County",2012-07-01,17.59,48.5
"1185","Madera County",2012-07-01,3,30
"1186","Marin County",2012-07-01,12,34
"1187","Mariposa County",2012-07-01,5.8,39.3
"1188","Orange County",2012-07-01,1.3,38.2
"1189","Plumas County",2012-07-01,3,14.7
"1190","Riverside County",2012-07-01,12.5,64.26
"1191","San Benito County",2012-07-01,7,76
"1192","San Diego County",2012-07-01,7,59.6
"1193","San Joaquin County",2012-07-01,17,40
"1194","Santa Barbara County",2012-07-01,13,23
"1195","Santa Clara County",2012-07-01,36,85
"1196","Sierra County",2012-07-01,5,3
"1197","Siskiyou County",2012-07-01,8,17
"1198","Sonoma County",2012-07-01,6.9,54.2
"1199","Stanislaus County",2012-07-01,8,59
"1200","Trinity County",2012-07-01,7,57
"1201","Tulare County",2012-07-01,17.51,74.81
"1202","Amador County",2012-10-01,14.33,69.73
"1203","Colusa County",2012-10-01,6.12,25.186
"1204","Del Norte County",2012-10-01,12,16
"1205","El Dorado County",2012-10-01,9.2,65.4
"1206","Fresno County",2012-10-01,12,29
"1207","Glenn County",2012-10-01,19.4,69.5
"1208","Humboldt County",2012-10-01,5.89,47.45
"1209","Imperial County",2012-10-01,10,59
"1210","Inyo County",2012-10-01,10,41
"1211","Los Angeles County",2012-10-01,11.671,54.899
"1212","Madera County",2012-10-01,4,63
"1213","Marin County",2012-10-01,15,37
"1214","Mariposa County",2012-10-01,7.4,39.8
"1215","Merced County",2012-10-01,32,30
"1216","Orange County",2012-10-01,1.3,47.7
"1217","Plumas County",2012-10-01,2.8,36.4
"1218","Riverside County",2012-10-01,16.72,37.4
"1219","San Benito County",2012-10-01,11,51
"1220","San Diego County",2012-10-01,8.3,61.8
"1221","San Joaquin County",2012-10-01,4,35
"1222","Santa Barbara County",2012-10-01,13,24
"1223","Santa Clara County",2012-10-01,39,95
"1224","Sierra County",2012-10-01,7,2
"1225","Siskiyou County",2012-10-01,7,23
"1226","Sonoma County",2012-10-01,4.8,52.9
"1227","Stanislaus County",2012-10-01,8,47
"1228","Trinity County",2012-10-01,15,108
"1229","Tulare County",2012-10-01,25.32,85.69
"1230","Amador County",2013-01-01,6.39,51.58
"1231","Colusa County",2013-01-01,8.214,20.844
"1232","Del Norte County",2013-01-01,12,16
"1233","El Dorado County",2013-01-01,9.2,72.8
"1234","Fresno County",2013-01-01,21,30
"1235","Glenn County",2013-01-01,27.4,50.1
"1236","Humboldt County",2013-01-01,6.2,45.9
"1237","Imperial County",2013-01-01,6,26
"1238","Inyo County",2013-01-01,6,61
"1239","Los Angeles County",2013-01-01,11.671,54.899
"1240","Madera County",2013-01-01,4,65
